input	gold
ねたばれってほどでもないですがたいむりーぷでじけんかいけつしてさいごはみないきてたりします	ネタバレってほどでもないですがタイムリープで事件解決して最後はみんな生きてたりします
そういうのはきょうざめですな	そういうのは興醒めですなぁ
いちぶはすいりしょうせつとしておもしろかったですよ	一部は推理小説として面白かったですよ
おわってみるとたさつはすくなかったなとおどろきましたたさつはどうきをえがかなくていないからどくしゃにすいりされやすい	終わってみると他殺は少なかったなぁと驚きました他殺は動機を描かなくちゃいないから読者に推理されやすい
ふくざつにするにはじつはびょうしとかじさつとかのおちになっちゃうのかも	複雑にするには実は病死とか自殺とかのオチになっちゃうのかも
らいばるのすいりをそのかのうせいはすでにかんがえたとつぶしていくのがかっこうよいです	ライバルの推理をその可能性はすでに考えたと潰していくのがかっこいいです
でもさいごにたんていじしんがみのがしてたかのうせいにきがついてきせきではなかったというおち	でも最後に探偵自身が見逃してた可能性に気がついて奇跡ではなかったというオチ
ただよしだはそのかのうせいをいちばんさいしょにかんがえたのですけれどね	ただ吉田はその可能性を一番最初に考えたんですけどね
そんなにありえないかのうせいでもないけれどたんていはきせきにしたいがんぼうがあるとかないとかいいわけしてました	そんなにありえない可能性でもないけど探偵は奇跡にしたい願望があるとかないとか言い訳してました
でもおもしろいです	でも面白いです
みすてりーすきっておーきくいちしゃかいはににんげんどらまはきゃらすきふくむさんなぞときはぱずらーにぶんるいできるとおもうのですがりあるなしりあいにさんのひとがすくなくてざんねんです	ミステリー好きって大きく①社会派②人間ドラマ派キャラ好き含む③謎解き派パズラーに分類できると思うのですがリアルな知り合いに③の人が少なくて残念です
にです	2です
しってます	しってます
ほんかくみすてりーほどきゃらをたてしてますよね	本格ミステリーほどキャラを立てしてますよね
でもなぞをほんきでとくひとはいないのでよんたほんをきーたくらいではわたくしはしんようしなくなりました	でも謎を本気で解く人はいないので読んだ本を聞いたくらいでは私は信用しなくなりました
にとさんのみぞはふかい	2と３の溝は深い
いちにいたってはじげんがちがいます	1に至っては次元がちがいます
よしださんみすてりーにはきびしい	吉田さんミステリーには厳しい
