input	gold
このうちくうぐんげんすいについてはせんじちゅうのみにんめいされるかいきゅうでありにぜろにぜろねんはちがつげんざいでにんめいされているものはいない	このうち空軍元帥については戦時中のみ任命される階級であり2020年8月現在で任命されている者はいない
じゅんしかん	准士官
しょきのじゅんしかんとうんようはいし	初期の准士官と運用廃止
じゅんしかんせいどのうんようをおこなっていないのはあめりかぐんではくうぐんとうちゅうぐんのみであった	准士官制度の運用を行っていないのはアメリカ軍では空軍と宇宙軍のみであった
それいこうくうぐんではじょじょにじゅんしかんのうんようをはいししていった	それ以降空軍では徐々に准士官の運用を廃止していった
ばろーのたいえきくうぐんのじゅんしかんかいきゅうはほうりつじょうにきていをのこすのみとなりうんようはいしとなった	バローの退役空軍の准士官階級は法律上に規定を残すのみとなり運用廃止となった
じゅんしかんのふっかつ	准士官の復活
くうぐんはとうしょにぜろにごねんなつまでにさんぜろめいのじゅんしかんこうほせいにたいするくんれんをかいしすることをけいかくした	空軍は当初2025年夏までに30名の准士官候補生に対する訓練を開始することを計画した
しかしにぜろによんねんなながつまつまでにとうしょのよそうをおおはばにうわまわるななはちめいのくうぐんへいしがやくろくろくねんぶりにくうぐんのじゅんしかんとなるためにえらばれたとはっぴょうした	しかし2024年7月末までに当初の予想を大幅に上回る78名の空軍兵士が約66年ぶりに空軍の准士官となるために選ばれたと発表した
このななはちめいのじゅんしかんこうほせいはさんつのくんれんくらすにわけられさいしょのくらすはにぜろによんねんいちぜろがつにくんれんがかいしされた	この78名の准士官候補生は3つの訓練クラスに分けられ最初のクラスは2024年10月に訓練が開始された
にぜろによんねんいちにがつろくにちあらばましゅうのにしんぺんされたくうぐんじゅんしかんこうほせいがっこうをさんぜろめいのくうぐんへいしがそつぎょうした	2024年12月6日アラバマ州のに新編された空軍准士官候補生学校を30名の空軍兵士が卒業した
このそつぎょうせいはらはいちきゅうきゅうにねんいらいあめりかくうぐんできんむするさいしょのじゅんしかんににんめいされた	この卒業生はらは1992年以来アメリカ空軍で勤務する最初の准士官に任命された
かしかんぺい	下士官兵
かしかん	下士官
へい	兵
あめりかくうぐんしゅっしんのちょめいにん	アメリカ空軍出身の著名人
えどうぃんおるどりんばずおるどりん	エドウィンオルドリンバズオルドリン
じんるいはつのげつめんちゃくりくをはたしたうちゅうひこうし	人類初の月面着陸を果たした宇宙飛行士
まいけるこりんず	マイケルコリンズ
はつのげつめんちゃくりくをはたしたあぽろんいちいちごうにとうじょうしたうちゅうひこうし	初の月面着陸を果たしたアポロ11号に搭乗した宇宙飛行士
ふらんしすげーりーぱわーず	フランシスゲーリーパワーズ
ちゃっくのりす	チャックノリス
がすぐりそむ	ガスグリソム
でびっどすこっと	デイヴィッドスコット
えりすんおにづか	エリソンオニヅカ
あいりーんこりんず	アイリーンコリンズ
じぇいうぉーりーひぎんず	ジェイウォーリーヒギンズ
ぼぶろす	ボブロス
きゃくちゅう	脚注
しゅってん	出典
かんれんこうもく	関連項目
あめりかくうぐんきちのいちらん	アメリカ空軍基地の一覧
あめりかくうぐんのうた	アメリカ空軍の歌
あめりかくうぐんのきしょう	アメリカ空軍の記章
さんだーばーず	サンダーバーズ
くうぐんのいちらん	空軍の一覧
かっこくぐんのこうくうはいびいちらん	各国軍の航空配備一覧
ぐんたいのかいきゅう	軍隊の階級
がいぶりんく	外部リンク
あめりかくうぐんこうしきさいと	アメリカ空軍公式サイト
あめりかくうぐんえんたていんめんと・りえいぞん・おふぃすおーがすとまがじん	アメリカ空軍エンタテインメント・リエイゾン・オフィスオーガストマガジン
ついんてぃーだぶりゅーあいえぬはそうせいじふたごをあらわすえいたんご	ツインtwinは双生児双子を表す英単語
てんじていかのいみにもちーられる	転じて以下の意味に用いられる
につでいちくみになっていること	2つで1組になっていること
にきとうついんのえんじんのこと	2気筒ツインのエンジンのこと
ぶいついんなど	Vツインなど
ほてるのきゃくしつのたいぷ	ホテルの客室のタイプ
べっどがにだいおかれたににんようのへや	ベッドが2台置かれた2人用の部屋
じぇーあーるぐるーぷがうんようするににんようびーこしつしんだいのぐれーどのひとつ	JRグループが運用する2人用B個室寝台のグレードの一つ
びーしんだいににんようこしつをさんしょう	B寝台2人用個室を参照
さくひんめい	作品名
かんれんこうもく	関連項目
ついん	ツインズ
つじえきつじえきはとくしまけんみよししいかわちょうごりょうでんにあるしこくりょかくてつどうじぇーあーるしこくとくしませんのえきである	辻駅つじえきは徳島県三好市井川町御領田にある四国旅客鉄道JR四国徳島線の駅である
えきばんごうはびーにさん	駅番号はB23
れきし	歴史
いちきゅういちよんねんたいしょうさんねんさんがつにごにちかいぎょう	1914年大正3年3月25日開業
いちきゅうはちさんねんしょうわごはちねんにがついちにちちょくえいえきからぎょうむいたくえきとなりえきぎょうむをひこうかんにいたくする	1983年昭和58年2月1日直営駅から業務委託駅となり駅業務を日交観に委託する
いちきゅうはちごねんしょうわろくぜろねんにがついちにちぎょうむいたくえきからむじんえきとなるかんいいたくえきか	1985年昭和60年2月1日業務委託駅から無人駅となる簡易委託駅化
いちきゅうはちななねんしょうわろくにねんよんがついちにちこくてつぶんかつみんえいかによりしこくりょかくてつどうがけいしょう	1987年昭和62年4月1日国鉄分割民営化により四国旅客鉄道が継承
